GameId	Region	GameTitle	URL	ContentId
ECJS-00025		MLB: The Show 23		
ECJS-00026		Marvel's Spider-Man 2		
ECJS-00031		Rise of the Ronin		
ECJS-00032		Rise of the Ronin		
ECJS-00033		Helldivers 2		
ECJS-00034		Stellar Blade		
ECJS-00035		Marvel's Spider-Man 2		
ECJS-00039		Horizon Forbidden West: Complete Edition		
ECJS-00043		MLB: The Show 24		
ECJS-10001		Call of Duty: Black Ops Cold War		
ECJS-10002		Call of Duty: Vanguard		
ECJS-10003		Fortnite: Minty Legends Pack		
ECJS-10004		Fortnite: Graphic Legends Pack		
ELAS-10001		NBA 2K21		
ELAS-10002		Just Dance 2021		
ELAS-10006		Assassin's Creed Valhalla		
ELAS-10008		Assassin's Creed Valhalla		
ELAS-10011		Immortals Fenyx Rising		
ELAS-10012		Watch Dogs: Legion		
ELAS-10015		Just Dance 2021		
ELAS-10028		Puyo Puyo Tetris 2		
ELAS-10029		WRC 9: The Official Game		
ELAS-10030		Devil May Cry 5: Special Edition		
ELAS-10032		Call of Duty: Black Ops Cold War		
ELAS-10033		Call of Duty: Black Ops Cold War		
ELAS-10034		Outriders		
ELAS-10035		Outriders		
ELAS-10036		NBA 2K21		
ELAS-10039		Outriders		
ELAS-10040		Mortal Kombat 11 Ultimate		
ELAS-10041		Scarlet Nexus		
ELAS-10043		Marvel's Avengers		
ELAS-10045		Scarlet Nexus		
ELAS-10047		Overcooked! All You Can Eat		
ELAS-10050		Maneater		
ELAS-10051		FIFA 21		
ELAS-10060		Control: Ultimate Edition		
ELAS-10065		Balan Wonderworld		
ELAS-10066		Trigger Witch		
ELAS-10067		Riders Republic		
ELAS-10072		Yakuza: Like a Dragon		
ELAS-10073		Yakuza: Like a Dragon		
ELAS-10074		Guilty Gear: Strive		
ELAS-10075		Guilty Gear: Strive		
ELAS-10078		Back 4 Blood		
ELAS-10079		Back 4 Blood		
ELAS-10081		Judge Eyes: Shinigami no Yuigon Remastered		
ELAS-10084		Resident Evil: Village		
ELAS-10086		Trigger Witch		
ELAS-10087		The Dark Pictures Anthology: House of Ashes		
ELAS-10088		The Dark Pictures Anthology: House of Ashes		
ELAS-10091		Deathloop		
ELAS-10092		Deathloop		
ELAS-10093		Deathloop		
ELAS-10094		Final Fantasy VII Remake Intergrade		
ELAS-10095		Final Fantasy VII Remake Intergrade		
ELAS-10096		Star Wars Jedi: Fallen Order		
ELAS-10097		Final Fantasy VII Remake Intergrade		
ELAS-10098		LEGO Star Wars: The Skywalker Saga		
ELAS-10099		Back 4 Blood		
ELAS-10108		Aragami 2		
ELAS-10109		F1 2021		
ELAS-10110		FIFA 22		
ELAS-10111		The Dark Pictures Anthology: House of Ashes		
ELAS-10112		Tales of Arise		
ELAS-10114		Tales of Arise		
ELAS-10116		Summer Sports Games		
ELAS-10117		Farm for your Life		
ELAS-10118		Hades		
ELAS-10119		Hades		
ELAS-10120		Chivalry II		
ELAS-10121		Observer: System Redux		
ELAS-10122		F.I.S.T.: Forged In Shadow Torch		
ELAS-10124		Tom Clancy’s Rainbow Six Extraction		
ELAS-10132		Lost Judgment		
ELAS-10133		Lost Judgment		
ELAS-10134		Lost Judgment		
ELAS-10135		Aliens: Fireteam Elite		
ELAS-10137		Far Cry 6		
ELAS-10138		Far Cry 6		
ELAS-10139		Monark		
ELAS-10140		Monark		
ELAS-10142		Far Cry 6		
ELAS-10145		Far Cry 6		
ELAS-10148		NBA 2K22		
ELAS-10153		Hot Wheels Unleashed		
ELAS-10154		Life Is Strange: True Colors		
ELAS-10156		Super Monkey Ball: Banana Mania		
ELAS-10157		Demon Slayer: Kimetsu no Yaiba: The Hinokami Chronicles		
ELAS-10158		Demon Slayer: Kimetsu no Yaiba: The Hinokami Chronicles		
ELAS-10159		Demon Slayer: Kimetsu no Yaiba: The Hinokami Chronicles		
ELAS-10162		Battlefield 2042		
ELAS-10163		Call of Duty: Vanguard		
ELAS-10164		Call of Duty: Vanguard		
ELAS-10165		Just Dance 2022		
ELAS-10166		Just Dance 2022		
ELAS-10167		Sherlock Holmes: Chapter One		
ELAS-10170		Sherlock Holmes: Chapter One		
ELAS-10171		Marvel's Guardians of the Galaxy		
ELAS-10172		Marvel's Guardians of the Galaxy		
ELAS-10177		Treasures of the Aegean		
ELAS-10178		Beyond a Steel Sky		
ELAS-10179		Yuoni		
ELAS-10184		Disciples: Liberation		
ELAS-10188		Chorus		
ELAS-10195		Elden Ring		
ELAS-10203		Elden Ring		
ELAS-10239		Omen of Sorrow		
ELAS-10248		The Centennial Case: A Shijima Story		
ELAS-10251		Sniper Elite 5		
ELAS-10253		The Legend of Tianding		
ELAS-10256		Klonoa Phantasy Reverie Series		
ELAS-10257		Gotham Knights		
ELAS-10258		The Quarry		
ELAS-10260		DNF Duel		
ELAS-10264		Gotham Knights		
ELAS-10271		Sword and Fairy: Together Forever		
ELAS-10287		JoJo's Bizarre Adventure: All-Star Battle R		
ELAS-10307		Evil West		
ELAS-10314		Eiyuu Densetsu: Kuro no Kiseki II: Crimson Sin		
ELAS-10321		Evil Dead: The Game		
ELAS-10333		DreadOut 2		
ELAS-10354		River City Girls 2		
ELAS-10375		Reverie: Sweet As Edition		
ELAS-10392		Crisis Core: Final Fantasy VII: Reunion		
ELAS-10407		Like a Dragon: Ishin!		
ELAS-10412		The Callisto Protocol		
ELAS-10416		A Space for the Unbound		
ELAS-10417		Romancing SaGa -Minstrel Song- Remastered		
ELAS-10418		DEADCRAFT		
ELAS-10442		Wo Long: Fallen Dynasty		
ELAS-10481		Grime		
ELAS-10489		SENSEs: Midnight		
ELAS-10492		Cross Tails		
ELAS-10507		Fate/Samurai Remnant		
ELAS-10544		Like a Dragon Gaiden: The Man Who Erased His Name		
ELAS-10545		Like a Dragon Gaiden: The Man Who Erased His Name		
ELAS-10670		Calico		
ELAS-10672		MotoGP 24		
ELAS-10700		Shin Megami Tensei V: Vengeance		
ELAS-10704		Shin Megami Tensei V: Vengeance		
ELJM-30001		Puyo Puyo Tetris 2		
ELJM-30002		Devil May Cry 5: Special Edition		
ELJM-30003		Judgment Remastered		
ELJM-30004		Neptunia re★Verse		
ELJM-30005		Neptunia re★Verse		
ELJM-30006		Watch Dogs: Legion		
ELJM-30007		Assassin's Creed Valhalla		
ELJM-30008		Just Dance 2021		
ELJM-30009		Watch Dogs: Legion		
ELJM-30010		Assassin's Creed Valhalla		
ELJM-30012		Immortals Fenyx Rising		
ELJM-30013		Atelier Ryza 2: Lost Legends & the Secret Fairy		
ELJM-30014		Marvel's Avengers		
ELJM-30015		Outriders		
ELJM-30016		Balan Wonderworld		
ELJM-30017		Godfall		
ELJM-30018		Maneater		
ELJM-30019		Guilty Gear: Strive		
ELJM-30020		Guilty Gear: Strive		
ELJM-30021		Overcooked! All You Can Eat		
ELJM-30022		Godfall		
ELJM-30023		Godfall		
ELJM-30024		Nioh Remastered - Complete Edition		
ELJM-30025		Nioh 2 Remastered - Complete Edition		
ELJM-30026		Control: Ultimate Edition		
ELJM-30027		FIFA 21		
ELJM-30028		Far Cry 6		
ELJM-30029		Far Cry 6		
ELJM-30030		Tom Clancy’s Rainbow Six Extraction		
ELJM-30031		void tRrLM();++ //Void Terrarium++		
ELJM-30032		Riders Republic		
ELJM-30033		Deathloop		
ELJM-30034		Deathloop		
ELJM-30035		Dirt 5		
ELJM-30036		Resident Evil: Village		
ELJM-30037		Resident Evil: Village		
ELJM-30038		Yakuza: Like a Dragon		
ELJM-30039		Observer: System Redux		
ELJM-30041		Tom Clancy's Rainbow Six Siege		
ELJM-30042		Mortal Shell		
ELJM-30043		WRC 9: The Official Game		
ELJM-30044		Werewolf: The Apocalypse: Earthblood		
ELJM-30045		Tennis World Tour 2		
ELJM-30046		Terminator: Resistance Enhanced		
ELJM-30047		Override 2: Super Mech League		
ELJM-30048		Final Fantasy VII Remake Intergrade		
ELJM-30049		The Falconeer: Warrior Edition		
ELJM-30050		Dead by Daylight: Special Edition		
ELJM-30051		Chivalry II		
ELJM-30052		Utawarerumono: Zan 2		
ELJM-30053		Utawarerumono: Zan 2		
ELJM-30055		The Forgotten City		
ELJM-30056		Aliens: Fireteam Elite		
ELJM-30059		Aliens: Fireteam Elite		
ELJM-30060		Sniper: Ghost Warrior Contracts 2		
ELJM-30061		Dynasty Warriors 9 Empires		
ELJM-30062		KeyWe		
ELJM-30064		Yuoni		
ELJM-30065		Super Monkey Ball: Banana Mania		
ELJM-30066		Back 4 Blood		
ELJM-30067		Lost Judgment		
ELJM-30068		Back 4 Blood		
ELJM-30069		RiMS Racing		
ELJM-30070		Alex Kidd in Miracle World DX		
ELJM-30071		Monark		
ELJM-30072		F.I.S.T.: Forged In Shadow Torch		
ELJM-30073		Hitman 3		
ELJM-30074		F1 2021		
ELJM-30075		Demon Slayer: Kimetsu no Yaiba: The Hinokami Chronicles		
ELJM-30076		Tom Clancy’s Rainbow Six Extraction		
ELJM-30077		Port Royale 4		
ELJM-30078		Spacebase Startopia		
ELJM-30079		Marvel's Guardians of the Galaxy		
ELJM-30080		Iron Harvest: Complete Edition		
ELJM-30081		Hot Wheels Unleashed		
ELJM-30083		Astria Ascending		
ELJM-30084		Saints Row: The Third Remastered		
ELJM-30085		FIFA 22		
ELJM-30086		Battlefield 2042		
ELJM-30087		Doki Doki Literature Club Plus!		
ELJM-30088		Record of Lodoss War: Deedlit in Wonder Labyrinth		
ELJM-30090		The Ascent		
ELJM-30091		WRC 10: The Official Game		
ELJM-30092		Disciples: Liberation		
ELJM-30093		Dead by Daylight		
ELJM-30094		Treasures of the Aegean		
ELJM-30097		Dying: 1983		
ELJM-30098		Among Us		
ELJM-30099		Human: Fall Flat		
ELJM-30100		The King of Fighters XV		
ELJM-30101		Life Is Strange: True Colors		
ELJM-30102		Chorus		
ELJM-30103		Stranger of Paradise: Final Fantasy Origin		
ELJM-30104		Dragon Quest X: Rise of the Five Tribes Offline		
ELJM-30105		Dragon Quest X: Rise of the Five Tribes Offline		
ELJM-30107		Relayer		
ELJM-30108		Saints Row		
ELJM-30109		Saints Row		
ELJM-30111		Hell Let Loose		
ELJM-30112		Elden Ring		
ELJM-30113		Babylon's Fall		
ELJM-30114		Kena: Bridge of Spirits		
ELJM-30115		Assetto Corsa Competizione		
ELJM-30116		Tropico 6		
ELJM-30117		A Plague Tale: Innocence		
ELJM-30118		In Sound Mind		
ELJM-30119		Raiden IV x Mikado Remix		
ELJM-30120		Raiden III x Mikado Maniax		
ELJM-30121		Rugby 22		
ELJM-30122		The Medium		
ELJM-30123		Vampire: The Masquerade - Swansong		
ELJM-30124		Assassin's Creed Valhalla		
ELJM-30125		Forspoken		
ELJM-30126		Yurukill: The Calumniation Games		
ELJM-30128		Neptunia: Sisters vs. Sisters		
ELJM-30129		Ghostwire: Tokyo		
ELJM-30130		Ghostwire: Tokyo		
ELJM-30131		Elex II		
ELJM-30132		Biomutant		
ELJM-30133		Grid Legends		
ELJM-30134		Outward: Definitive Edition		
ELJM-30135		MX vs ATV Legends		
ELJM-30136		Cris Tales		
ELJM-30137		Matchpoint: Tennis Championships		
ELJM-30138		Grand Theft Auto V		
ELJM-30139		Dolmen		
ELJM-30140		LEGO Star Wars: The Skywalker Saga		
ELJM-30142		Rustler		
ELJM-30144		The Centennial Case: A Shijima Story		
ELJM-30145		Disgaea 6: Defiance of Destiny		
ELJM-30146		Five Nights at Freddy's: Security Breach		
ELJM-30147		Soul Hackers 2		
ELJM-30148		The Persistence Enhanced		
ELJM-30149		Dead by Daylight		
ELJM-30150		Edge of Eternity		
ELJM-30151		MotoGP 22		
ELJM-30152		Sniper Elite 5		
ELJM-30153		Aliens: Fireteam Elite		
ELJM-30154		DNF Duel		
ELJM-30155		Outriders Worldslayer		
ELJM-30156		Valkyrie Elysium		
ELJM-30157		Sword and Fairy: Together Forever		
ELJM-30158		Final Vendetta		
ELJM-30159		Sifu		
ELJM-30160		The Legend of Tianding		
ELJM-30161		The Legend of Heroes: Kuro no Kiseki		
ELJM-30162		F1 22		
ELJM-30163		FIFA 22		
ELJM-30164		Way of the Hunter		
ELJM-30165		Crisis Core: Final Fantasy VII: Reunion		
ELJM-30166		Sniper Elite 5		
ELJM-30167		Monochrome Moebius: Toki no Taika		
ELJM-30168		Monochrome Moebius: Toki no Taika		
ELJM-30169		SnowRunner		
ELJM-30170		Trinity Trigger		
ELJM-30171		Necromunda: Hired Gun		
ELJM-30173		Gotham Knights		
ELJM-30174		Persona 5: The Royal		
ELJM-30175		Guilty Gear: Strive		
ELJM-30176		Idol Manager		
ELJM-30177		Fairy Fencer F: Refrain Chord		
ELJM-30178		World War Z: Aftermath		
ELJM-30179		Destroy All Humans! 2 - Reprobed		
ELJM-30180		No More Heroes 3		
ELJM-30184		Goat Simulator 3		
ELJM-30185		Steelrising		
ELJM-30186		Wonder Boy: The Dragon's Trap		
ELJM-30187		Thymesia		
ELJM-30188		The Lord of the Rings: Gollum		
ELJM-30189		Temtem		
ELJM-30190		Dakar Desert Rally		
ELJM-30192		Eiyuu Densetsu: Kuro no Kiseki II: Crimson Sin		
ELJM-30194		The DioField Chronicle		
ELJM-30195		Tales of the Neon Sea		
ELJM-30196		Call of Duty: Modern Warfare II		
ELJM-30197		Tactics Ogre: Reborn		
ELJM-30198		Soulstice: Deluxe Edition		
ELJM-30199		Dawn of the Monsters		
ELJM-30200		Evil Dead: The Game		
ELJM-30201		Sonic Frontiers		
ELJM-30203		Star Ocean: The Divine Force		
ELJM-30204		Mount & Blade II: Bannerlord		
ELJM-30205		War Mongrels		
ELJM-30206		DreadOut 2		
ELJM-30207		Dead by Daylight		
ELJM-30208		Biohazard Village Z Version Gold Edition		
ELJM-30209		Puyo Puyo Tetris 2		
ELJM-30210		Skull and Bones		
ELJM-30211		Skull and Bones		
ELJM-30212		Disgaea 7		
ELJM-30213		Call of Duty: Modern Warfare II		
ELJM-30214		The Chant		
ELJM-30215		FIFA 23		
ELJM-30219		WRC Generations		
ELJM-30220		Session: Skate Sim		
ELJM-30221		River City Girls 1 & 2		
ELJM-30223		Tiny Troopers: Global Ops		
ELJM-30226		Gungrave G.O.R.E.		
ELJM-30227		Resident Evil 4		
ELJM-30229		Octopath Traveler II		
ELJM-30230		Resident Evil 4		
ELJM-30233		Far Cry 6		
ELJM-30234		Atelier Ryza 3: Alchemist of the End & the Secret Key		
ELJM-30235		Like a Dragon: Ishin!		
ELJM-30236		Under Night In-Birth II Sys:Celes		
ELJM-30238		Eiyuden Chronicle: Rising		
ELJM-30239		Hogwarts Legacy		
ELJM-30240		Final Fantasy XVI		
ELJM-30241		Melon Journey: Bittersweet Memories		
ELJM-30242		The House of the Dead: Remake		
ELJM-30243		A Space for the Unbound		
ELJM-30245		Teenage Mutant Ninja Turtles: Shredder's Revenge		
ELJM-30246		Need for Speed Unbound		
ELJM-30247		Wild Hearts		
ELJM-30248		Wo Long: Fallen Dynasty		
ELJM-30250		Hogwarts Legacy		
ELJM-30253		Warhammer: Chaosbane		
ELJM-30254		Devil Engine: Complete Edition		
ELJM-30255		A Plague Tale: Requiem		
ELJM-30256		Warhammer 40,000: Inquisitor: Martyr		
ELJM-30259		Grim Guardians: Demon Purge		
ELJM-30260		R-Type Final 3 Evolved		
ELJM-30262		Winning Post 10		
ELJM-30263		Scars Above		
ELJM-30264		Street Fighter 6		
ELJM-30265		Anno 1800: Console Edition		
ELJM-30266		Outcast: A New Beginning		
ELJM-30267		AEW: Fight Forever		
ELJM-30269		Mato Anomalies		
ELJM-30271		Coffee Talk Episode 2: Hibiscus & Butterfly		
ELJM-30272		Crymachina		
ELJM-30273		Endless Dungeon		
ELJM-30274		Company of Heroes 3		
ELJM-30276		Atomic Heart		
ELJM-30277		Dredge		
ELJM-30278		You Suck at Parking: Complete Edition		
ELJM-30279		Xicatrice		
ELJM-30280		Star Wars Jedi: Survivor		
ELJM-30281		Star Wars Jedi: Survivor		
ELJM-30283		RWBY: Arrowfell		
ELJM-30284		Caligula: Overdose		
ELJM-30285		TT Isle Of Man: Ride on the Edge 3		
ELJM-30286		Transport Fever 2		
ELJM-30287		Tiebreak: The Official Game of the ATP and WTA		
ELJM-30288		Suicide Squad: Kill the Justice League		
ELJM-30289		Super Bomberman R2		
ELJM-30290		Suicide Squad: Kill the Justice League		
ELJM-30291		Exoprimal		
ELJM-30292		Sonic Origins Plus		
ELJM-30294		Afterimage		
ELJM-30295		Bramble: The Mountain King		
ELJM-30296		Koa and the Five Pirates of Mara		
ELJM-30297		Evil West		
ELJM-30298		Atelier Marie Remake: The Alchemist of Salburg		
ELJM-30300		Goonya Monster		
ELJM-30302		Railway Empire 2		
ELJM-30303		MotoGP 23		
ELJM-30304		Diablo IV		
ELJM-30305		Grime		
ELJM-30306		Hayarigami 1-2-3 Pack		
ELJM-30307		Crime Boss: Rockay City		
ELJM-30308		Slave Zero X		
ELJM-30309		Tin Hearts		
ELJM-30310		Cross Tails		
ELJM-30311		Neptunia Game Maker R:Evolution		
ELJM-30312		Infinity Strash: Dragon Quest: The Adventure of Dai		
ELJM-30314		Macross: Shooting Insight		
ELJM-30315		Redemption Reapers		
ELJM-30316		Moving Out 2		
ELJM-30317		Gravity Circuit		
ELJM-30318		Armored Core VI: Fires of Rubicon		
ELJM-30321		Killer Frequency		
ELJM-30322		Fate/Samurai Remnant		
ELJM-30323		Trine 5: A Clockwork Conspiracy		
ELJM-30324		Saints Row		
ELJM-30325		Ride 5		
ELJM-30326		The Crew Motorfest		
ELJM-30327		Immortals of Aveum		
ELJM-30328		F1 23		
ELJM-30329		Assassin's Creed Mirage		
ELJM-30330		Fort Solis		
ELJM-30331		Daymare: 1994 Sandcastle		
ELJM-30332		Air Twister		
ELJM-30333		Alone in the Dark		
ELJM-30334		Metal Gear Solid: Master Collection Vol. 1		
ELJM-30336		Ys X: Nordics		
ELJM-30337		Star Ocean: The Second Story R		
ELJM-30338		The Dragoness: Command of the Flame		
ELJM-30339		DriftCE		
ELJM-30340		Fantavision 202X		
ELJM-30341		Everspace 2		
ELJM-30342		Avatar: Frontiers of Pandora		
ELJM-30343		Prince of Persia: The Lost Crown		
ELJM-30344		Lies of P		
ELJM-30345		Persona 5 Tactica		
ELJM-30346		Sonic Superstars		
ELJM-30347		Payday 3		
ELJM-30348		Like a Dragon Gaiden: The Man Who Erased His Name		
ELJM-30349		Dead Cells: Return to Castlevania Edition		
ELJM-30350		The Caligula Effect 2		
ELJM-30351		Double Dragon Gaiden: Rise of the Dragons		
ELJM-30352		Yohane the Parhelion: Blaze in the Deepblue		
ELJM-30353		Remnant II		
ELJM-30356		Blazing Strike		
ELJM-30357		Persona 3: Reload		
ELJM-30358		Hitman: World of Assassination		
ELJM-30359		Gord		
ELJM-30360		My Time at Sandrock		
ELJM-30361		Call of Duty: Modern Warfare III		
ELJM-30362		Lost Eidolons: Special Edition		
ELJM-30363		Gangs of Sherwood		
ELJM-30364		Kemco RPG Selection Vol. 11		
ELJM-30365		Dungeons 4		
ELJM-30366		Princess Maker 2: Regeneration		
ELJM-30367		UFC 5		
ELJM-30368		EA Sports FC 24		
ELJM-30369		Aliens: Dark Descent		
ELJM-30370		RoboCop: Rogue City		
ELJM-30371		Like a Dragon: Infinite Wealth		
ELJM-30372		Final Fantasy VII Remake Intergrade		
ELJM-30373		Meet Your Maker		
ELJM-30374		Guilty Gear: Strive		
ELJM-30375		Front Mission 1st: Remake		
ELJM-30376		Stray		
ELJM-30378		Submerged: Hidden Depths		
ELJM-30379		Unicorn Overlord		
ELJM-30380		Gnosia		
ELJM-30381		Gunvolt Records Cychronicle		
ELJM-30382		Tetris Effect: Connected		
ELJM-30383		Radirgy 2		
ELJM-30384		Under the Waves		
ELJM-30385		Football Manager 2024 Console		
ELJM-30386		Romance of The Three Kingdoms 8 Remake		
ELJM-30388		Agatha Christie: Murder on the Orient Express		
ELJM-30389		Touhou Luna Nights		
ELJM-30390		Ib		
ELJM-30391		The Legend of Legacy HD Remastered		
ELJM-30392		Atlas Fallen		
ELJM-30393		Eiyuden Chronicle: Hundred Heroes		
ELJM-30394		Final Fantasy VII Rebirth		
ELJM-30395		Final Fantasy VII Rebirth		
ELJM-30396		Ghostrunner 2		
ELJM-30397		Tenka Touitsu SSB		
ELJM-30398		Deep Rock Galactic: Special Edition		
ELJM-30399		Rainbow Cotton		
ELJM-30400		Bar Stella Abyss		
ELJM-30401		Yohane the Parhelion: Numazu in the Mirage		
ELJM-30402		Irem Collection Volume 1		
ELJM-30403		BioHazard RE: 4: Gold Edition		
ELJM-30404		Dragon's Dogma 2		
ELJM-30405		Yakuza: Like a Dragon		
ELJM-30406		Eternights		
ELJM-30407		Winning Post 10 2024		
ELJM-30408		Touhou Spell Carnival		
ELJM-30409		Bang-On Balls: Chronicles		
ELJM-30411		Welcome to ParadiZe		
ELJM-30412		The Inquisitor		
ELJM-30413		Lisa: Definitive Edition		
ELJM-30414		Beholgar		
ELJM-30415		Tower of Fantasy: Assemble Edition		
ELJM-30416		Tower of Fantasy: Assemble Edition		
ELJM-30419		WiZmans World Re:Try		
ELJM-30420		Assault Suit Leynos 2: Saturn Tribute		
ELJM-30422		SaGa Emerald Beyond		
ELJM-30423		Visions of Mana		
ELJM-30424		South Park: Snow Day!		
ELJM-30425		UFO Robot Grendizer: The Feast of the Wolves		
ELJM-30426		The Lord of the Rings: Return to Moria		
ELJM-30427		Umbraclaw		
ELJM-30428		Teardown		
ELJM-30429		Shin Megami Tensei V: Vengeance		
ELJM-30431		C.A.R.D.S. RPG: The Misty Battlefield		
ELJM-30433		Trip World DX		
ELJM-30434		Snow Bros. Wonderland		
ELJM-30436		Expeditions: A MudRunner Game		
ELJM-30437		Rusted Moss		
ELJM-30438		Garden Life: Create Your Dream Garden		
ELJM-30439		Reynatis		
ELJM-30440		The Invincible		
ELJM-30441		Tokyo Psychodemic		
ELJM-30442		KAMiBAKO - Mythology of Cube -		
ELJM-30443		Elden Ring: Shadow of the Erdtree Edition		
ELJM-30444		Disney Epic Mickey: Rebrushed		
ELJM-30445		Gift		
ELJM-30447		Ys Memoire: The Oath in Felghana		
ELJM-30448		Mushoku Tensei: Jobless Reincarnation: Quest of Memories		
ELJM-30449		MADiSON		
ELJM-30450		Read Only Memories: Neurodiver		
ELJM-30451		Raiden Nova		
ELJM-30452		Star Wars Outlaws		
ELJM-30453		Star Wars Outlaws		
ELJM-30454		Neptunia Riders VS Dogoos		
ELJM-30455		Kemco RPG Selection Vol. 12		
ELJM-30456		SCHiM		
ELJM-30457		Construction Simulator		
ELJM-30458		F1 24		
ELJM-30459		Professional Baseball Spirits 2024-2025		
ELJM-30460		MotoGP 24		
ELJM-30461		Dustborn		
ELJM-30462		The Last Faith		
ELJM-30464		Kingdom Come: Deliverance II		
ELJM-30465		Bo to Tsukiyo no Aoi Hana		
ELJM-30466		Potion Permit: Complete Edition		
ELJM-30468		Disgaea 7: Koremade no Zenbu Iri Hajimemashita		
ELJM-30469		Jett Rider		
ELJM-30470		Under Defeat		
ELJM-30471		The Legend of Heroes: Trails through Daybreak		
ELJM-30472		The Legend of Heroes: Trails through Daybreak II		
ELJM-30475		Metaphor: ReFantazio		
ELJM-30476		Silent Hill 2		
ELJM-30477		Lost Epic		
ELJM-30478		Card-en-Ciel		
ELJM-30479		Slitterhead		
ELJM-30480		Death end re;Quest Code Z		
ELJM-30483		Kage: Shadow of the Ninja		
ELJM-30484		Anno: Mutationem		
ELJM-30485		Candle Knight		
ELJM-30487		Wolf Fang / Skull Fang Saturn Tribute Boosted		
ELJM-30488		Romancing SaGa 2: Revenge of the Seven		
ELJM-30489		Life is Strange: Double Exposure		
ELJM-30490		Assassin's Creed Shadows		
ELJM-30491		Assassin's Creed Shadows		
ELJM-30492		Front Mission 2: Remake		
ELJM-30493		Witch Spring R		
ELJM-30494		Asonde Shogi ga Tsuyokunaru! Ginsei Shogi DX2		
ELJM-30495		The Bridge Curse 2: The Extrication		
ELJM-30496		Cats on Duty		
ELJM-30497		Contra: Operation Galuga		
ELJM-30500		Test Drive Unlimited Solar Crown		
ELJM-30501		7 Days Heroes		
ELJM-30502		The Legend of Heroes: Kai no Kiseki - Farewell, O Zemuria		
ELJM-30503		NBA 2K25		
ELJM-30504		Taiko no Tatsujin: Rhythm Festival		
ELJM-30505		Farmagia		
ELJM-30506		Battle Spirits CrossOver		
ELJM-30507		Core Keeper		
ELJM-30508		Born Of Bread		
ELJM-30509		Kemco RPG Selection Vol. 1		
ELJM-30510		Lollipop Chainsaw RePOP		
ELJM-30512		Dragon Quest III HD-2D Remake		
ELJM-30514		Dead Rising Deluxe Remaster		
ELJM-30515		Sonic x Shadow Generations		
ELJS-20001		NBA 2K21		
ELJS-20002		NBA 2K21		
ELJS-20003		Scarlet Nexus		
ELJS-20004		Subnautica: Below Zero		
ELJS-20005		Metro Exodus: Complete Edition		
ELJS-20006		Tales of Arise		
ELJS-20007		Tales of Arise		
ELJS-20008		Tiny Tina's Wonderlands		
ELJS-20009		Tiny Tina's Wonderlands		
ELJS-20010		Dying Light 2: Stay Human		
ELJS-20012		NBA 2K22		
ELJS-20013		NBA 2K22		
ELJS-20014		Hades		
ELJS-20015		Farming Simulator 22		
ELJS-20016		Earth Defense Force 6		
ELJS-20017		Klonoa Phantasy Reverie Series		
ELJS-20018		The Witcher 3: Wild Hunt – Complete Edition		
ELJS-20019		The Quarry		
ELJS-20021		SD Gundam Battle Alliance		
ELJS-20022		Disco Elysium: The Final Cut		
