game_title,region,url,content_id
Metal Gear Solid,AS,http://zeus.dl.playstation.net/cdn/HP0101/NPHJ00137_00/lJ59lwhbEgCwkagIGhSFYWHpyrSjcFdr2alRxuYSEJ5UJYgkXNYtNesWWFinDwxCgRE0dRtgsdErhtURFCOuaAUtqseqiRjHWfHC3.pkg,HP0101-NPHJ00137-00
Metal Slug,AS,http://zeus.dl.playstation.net/cdn/HP0576/NPHJ00030_00/Wky1gdiOo0Llwf9iavLYQ3NJijyWyqnivqIpApub2UyO9gdOfgtTwXmP20UYhNcLeN1au7qcOqkJyUbrJruWQX3ynRy6N21OtyAN0.pkg,HP0576-NPHJ00030-00
Parasite Eve,AS,http://zeus.dl.playstation.net/cdn/HP0082/NPHJ00222_00/lfmWnMxDxAy1T8cSvJ62aEaPivbij6RA80Cg7xhInNrAfmyPkXwQ2iHBhUNyl3HPcrIP71tHYmkE9MJJdRHM4kHxxYxCbpmUCVuFf.pkg,HP0082-NPHJ00222-00
Parasite Eve II,AS,http://zeus.dl.playstation.net/cdn/HP0082/NPHJ00223_00/hhetStNWMyQsAZgpqZElxgdDKWHfiieUFoszqFYvMsOZMQpTHGvKGyZGdwhnfrdzAtqLQLaszviDnSqNapGDrRBdVxLOtUytksraO.pkg,HP0082-NPHJ00223-00
PoPoLoCrois,AS,http://zeus.dl.playstation.net/cdn/HP9000/NPHI00022_00/9ov6ccKrkDvRRxmtHFhoBGRqcegBrbikhHOHpjSPx9yw9RocL2uxLFk591XXm1AKE1atU9fhx2eTQ4KL1voiKVTw2BHn7fw9jTYNn.pkg,HP9000-NPHI00022-00
RayBlade,AS,http://zeus.dl.playstation.net/cdn/HP0158/NPHJ00076_00/IbTbrVpoLJ9M9pyT6wjyuyjxAEb8QthDtKwopq8XagMStbsBhwn3679FN2OS3EPKbQYG7PdJW36LqRJXlxNDNbkSwifw23r5YAcRO.pkg,HP0158-NPHJ00076-00
Samurai Shodown 4 Special,AS,http://zeus.dl.playstation.net/cdn/HP0576/NPHJ00029_00/B0u97JDB1poKTKoSpTMpVcVWsBegIKf532wQH3OPB3mswq6CKCSmgviTLKXR77E7gq9i1hVlESiErOmkpTj5javYLeDnk4aJnvvW2.pkg,HP0576-NPHJ00029-00
Sonic Wings Special,AS,http://zeus.dl.playstation.net/cdn/HP0571/NPHJ00060_00/J3FcwSncWUfDswYQfG0YdUIfCLfVLcqbViPDfugyLuLo0NWNdJf2qOSed7KXdqD57AworjHLorLI4eonf6KrIWqu6m9dM5diU3NTl.pkg,HP0571-NPHJ00060-00
The Adventure of Little Ralph,AS,http://zeus.dl.playstation.net/cdn/HP0390/NPHJ00041_00/vIaQvbQjYoDoeveyFadh9qjakgixywW8Ihq4tvuQuQtxnf8rLl2fTncg829eHJWPSPmUuuLXhJpG5gn6Y6MKSBXsOjT7l0CxrFQoy.pkg,HP0390-NPHJ00041-00
The King of Fighters '95,AS,http://zeus.dl.playstation.net/cdn/HP0576/NPHJ00014_00/YEP4kHFoPWlnn5enVGkn4tVDNw4g1T5XigOau7GqEetVVt7JovfRxVUQfqGdc4uHRJL6yLdp2sNKU5hnAcF0PSWe2nqrAbQ3fWpVg.pkg,HP0576-NPHJ00014-00
The King of Fighters '97,AS,http://zeus.dl.playstation.net/cdn/HP0576/NPHJ00016_00/r2I1qg6TQCF46Kjv3WgsDCervgCwKiQTrVphHlccbbiME6Wh4UGbq9NUOqEIlEXIUDA7OryROXfpmBrJLVYDaKeHQ7VR7nYKhxI6a.pkg,HP0576-NPHJ00016-00
The King of Fighters '97 (3.51),AS,http://zeus.dl.playstation.net/cdn/HP0576/NPHJ00016_00/fxbxS16lbimjOPnrxtARYIvNR8YXFvvpquQJ40t2teoBYuG0i8VEUnJvCLmDpHj6yOa69AUakgBxeNgtBhi1P3FvWMpA9GxkCqTp7.pkg,HP0576-NPHJ00016-00
The King of Fighters '98,AS,http://zeus.dl.playstation.net/cdn/HP0576/NPHJ00025_00/74I0m5ob6bfRuKX8sWRPVmMOEh0tvWwthk4e1xIxpjWmjaVybBKvi4qXSJVKfLye3Ug3XYb4Ahg1XqUBFrUA4L6KmmduhbKEM8s00.pkg,HP0576-NPHJ00025-00
Vagrant Story,AS,http://zeus.dl.playstation.net/cdn/HP0082/NPHJ00116_00/oLlyLnu9nCx7KkqCYChGb36qE1qxQTDQKmg05QB3lbMmD3sBaSepgbATgJ2DTLj4ymQNG6DBFTQ1JfVL1AcAReqoXFimaSk8kI2Ym.pkg,HP0082-NPHJ00116-00
Wai Wai Kart,AS,http://zeus.dl.playstation.net/cdn/HP0571/NPHJ00069_00/xHnUsRaLIuhtkfuHJy8Bmo2HQ0bsoWY8hEyuLVHy2UOJwBA0p3Ec7LB2yGSOKGlVwaApyf9bYp6b8FW8UQo4eJqoYUhcb27cV4JAU.pkg,HP0571-NPHJ00069-00
40 Winks,EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00148_00/7nolVtXWwlSvVHjJpW80oT9c0jRvtD3wwtkHDi1mjXxPPybJRgsaL8SjWGH4Pvv6.pkg,EP0182-NPEF00148-00
A Bug's Life,EU,http://zeus.dl.playstation.net/cdn/EP1006/NPEF00080_00/hkD3yNKQ8oeHWOfWLNE1AWr8kphqSYOLScO8f6dyOkVwkREEdob3xsSOL77Isl8fXEYkoQPuTOjtLfdltNbV1K9TPwX6FH0SW9g2v.pkg,EP1006-NPEF00080-00
A Bug's Life (German Only),EU,http://zeus.dl.playstation.net/cdn/EP1006/NPEF00080_00/lSE651JSxoR47YLIemCj89JxGl7iNNQOFfSGnOJtCBhqMsBWBJNWxDhAwyJyQ9Ba735uRDiQHC8O2h11gv3xEuUf5cWAVMtSF7rMg.pkg,EP1006-NPEF00080-00
A Bug's Life (Italian Only),EU,http://zeus.dl.playstation.net/cdn/EP1006/NPEF00080_00/6ss6E8hmkMWO9qJsVnOXdLtQ8RKASqBhCSIk7LQnnePtTMumaRJVeICE5QaEcAMDxNFnvOJbjLBHaxksWa84oPDJC82AD7o7SEYVU.pkg,EP1006-NPEF00080-00
Actua Golf 3,EU,http://zeus.dl.playstation.net/cdn/EP4039/NPEF00002_00/oJO4xBavP2rpsYCTGTpqkLOboRthsPskVFStbBQvg8mam9G8d4pQv5qiWMc4d4rGENu4tOYVWNNuTLAqfKSxB7SmvllOFthO8POqc.pkg,EP4039-NPEF00002-00
Actua Tennis,EU,http://zeus.dl.playstation.net/cdn/EP4039/NPEF00003_00/1d24aJ6v4hTSJNwu3i27TnImT2YE2ber9ufEM1Wm5Xv6K6Ywd3k79RXBkFJk06xi7fIH76LglkvdPwOO5EdA9GQO7GNboBra0HJr8.pkg,EP4039-NPEF00003-00
All Star Boxing,EU,http://zeus.dl.playstation.net/cdn/EP4061/NPEF00136_00/GPTYaline5bkGMQmGTqYQ45YLXNLt16vYDtG7KNN63fFssREMYyN8MK5lWAgjk5S.pkg,EP4061-NPEF00136-00
Alone in the Dark: The New Nightmare,EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00128_00/I5Gj1lYMNtskYDk29CAUxnRwgIc8WyUFwwiUsMhBPNloFQoLWuSUk5c7C1k0VMpT.pkg,EP0182-NPEF00128-00
Alundra (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00175_00/jsdhrLVnAgsFbpUbPGLIkUPActzUwOXwMpzsaQiEraDPdbmMxXezxaJvGvYhplvt.pkg,EP2039-NPEF00175-00
Arc Arena: Monster Tournament (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00170_00/UCMbUYGpgHxmsfaylnpOCoAmhaLSNGHzvaUmncoiMJmoQclpySNnfSnUTCeeQBHD.pkg,EP2039-NPEF00170-00
Arc the Lad,EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00167_00/PNhTYdlhUqNOUspmiIzgjJiKgLIGIejghclsfCPdPfTuRzMnPXTJleVyvUHcekHB.pkg,EP2039-NPEF00167-00
Arc The Lad II (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00168_00/pnHqUxseGrhSXUHpjzMOejCzbbnpTEOBzXAnKfBPwbueKMEddPHvvBzuCUBNbSxq.pkg,EP2039-NPEF00168-00
Arc The Lad III (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00169_00/xTgQQWMrqmvoaAYrYTnyOhDXrLCuDoISZWwBPkAflUxYcaXDFniWrRRhMOfxtYhx.pkg,EP2039-NPEF00169-00
Arcade Hits: Shienryu (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00171_00/RyIHslkNqgmLJRcKbzfbxoSqDwBCJWieXQAmaEdYzChybLQlXDZcFibRHqQjvySh.pkg,EP2039-NPEF00171-00
Arcade Hits: Sonic Wings Special (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00172_00/NlOvDYWNVHIWlwxxhoVUNCBjEWwlalOmRjaQckhbTYFdjNFYmGJpPDbqyrabwSMl.pkg,EP2039-NPEF00172-00
Atari Anniversary Edition Redux,EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00129_00/vGcVy9Kh7xnnO83Hbgt6EevMJjqC4f8JQXqiUiRXTLbFKll9dXVGq5IotLJmVsNx.pkg,EP0182-NPEF00129-00
ATV Racers (Deutsch Store Dump),EU,http://zeus.dl.playstation.net/cdn/EP4061/NPEF00137_00/UhGnAtA876i3Ci49tI3jU6bO78DL3wrt0eOqddVdJMQGrgYUcI3y8cjf374aUFn3.pkg,EP4061-NPEF00137-00
Bishi Bashi Special,EU,http://zeus.dl.playstation.net/cdn/EP0101/NPEF00013_00/FalLeoWBTeav373jAHoKYnKFC3ql3mo4WAGc9BuUw2y0UACpLWwByyLDlT2oEgnRlPW1x83jtUQBm5BCUcDk3II4y5ljcXjWVTgXn.pkg,EP0101-NPEF00013-00
Bishi Bashi Special (French Store),EU,http://zeus.dl.playstation.net/cdn/EP0101/NPEF00013_00/0aa4cVDPuqPXHWxuuSGoBeRRqsOvBWmSvm5VNC2F8i8aNXIGvkyWV4yLNvDWbqaCWMyiidqRu2ekqJ30bkrHYGL0pjSAL9qhk6b33.pkg,EP0101-NPEF00013-00
Blockids (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00176_00/ZcOrcQEyRSqSknccKemNtgjCprcjkjEueATFcdqaFCvhwxMgXaaxqrShCEOLoMLJ.pkg,EP2039-NPEF00176-00
Blood Omen: Legacy of Kain,EU,http://zeus.dl.playstation.net/cdn/EP0776/NPEF00110_00/BLeMvKREseiAvFQwSvIDnjVDjOIOBVEPNRrLYqdftJZlqPjqxdHKYrKvxCgXCiGR.pkg,EP0776-NPEF00110-00
Blood Omen: Legacy of Kain (German Only),EU,http://zeus.dl.playstation.net/cdn/EP0776/NPEF00110_00/soDKgNcfuNPqOLbbmZheTZvWcUetujlgFaHagpaztUCsFAYMBGWLWgJrSqBsgQgS.pkg,EP0776-NPEF00110-00
Bugriders: The Race of Kings,EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00159_00/BOAAsTzWHEEWOoJBLgmxryzErcSjtVMkeesXuqrloUWtYbLiIgCbHDlQEWcBHBpC.pkg,EP0182-NPEF00159-00
Bugriders: The Race of Kings (Russian Store),EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00159_00/nLemGBZITMpJURZqIwIcVIZckxSlqpXReTYZPcOmJrCIEcwmtwWvTrDXNvZYgYvp.pkg,EP0182-NPEF00159-00
Buzz Lightyear of Star Command,EU,http://zeus.dl.playstation.net/cdn/EP1006/NPEF00205_00/mpZSDgMoiVgypixoIGMXTxXxOMHmVOdntoCGekGiBhzeFPAcxjXcFVNKPBvHcfVK.pkg,EP1006-NPEF00205-00
Buzz Lightyear of Star Command (German Only),EU,http://zeus.dl.playstation.net/cdn/EP1006/NPEF00205_00/zQoPFrTCaUTNuyKDWOcUZhVLiMWxoLUxNnWAPkyazIyRrsaBkosHRfsGTtpbLNUB.pkg,EP1006-NPEF00205-00
Castlevania: Symphony of the Night,EU,http://zeus.dl.playstation.net/cdn/EP0101/NPEF00051_00/yuvtcxeQZDGBfkajFFjGxZozBjcZqSwKlyGTOnPpAirNoNOVofoeCEDkbYrGeIcn.pkg,EP0101-NPEF00051-00
Castlevania: Symphony of the Night (Deutsch Store Dump),EU,http://zeus.dl.playstation.net/cdn/EP0101/NPEF00051_00/mknmuLATQqiVcgONuEHkQdwrozVdhcslLVqXuhqsERxZSTIvKuOrDxXqPpsnLRIv.pkg,EP0101-NPEF00051-00
Castlevania: Symphony of the Night (French Store),EU,http://zeus.dl.playstation.net/cdn/EP0101/NPEF00051_00/yzKtVkkcjCNtnWoSzEsntnRWZgohDvkWggryEIoZaPxDTHiwZytLsccOXzKHQnwg.pkg,EP0101-NPEF00051-00
Centipede,EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00127_00/DnamM4rQAFJ9Ag0THuyOeWC8JpS7uIo23KREFTPRcAkfiJjRNkIJoplvtymWDMPG.pkg,EP0182-NPEF00127-00
Championship Bass,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00063_00/o6w6Mjov4OnoL0GT2jJf4L5MG5DWtQvsaGxdGKcVVAGI5GdqPyCusisqNLLka5CoCIs1j8RuUXg8ashU9cFGkfQlFFqCC6hWfnOvM.pkg,EP0006-NPEF00063-00
Cho Aniki (PS1 Import),EU,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00177_00/tcdmxrGfMnMrVJlHgbCbiojxrpJyZGtLOusxwWyxwfWthNTipXkdqRjkBSKWtKue.pkg,EP2039-NPEF00177-00
Command & Conquer,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00029_00/hAE73I4LGvfiY0X9LMx00Ghte9Ppl1XiuMiePRYueiJhWw4mPjUkdYYFxIaTwMAtW7nQFKcvjdtAD0bD4wWTtmWS5BGVfN63xIfMB.pkg,EP0006-NPEF00029-00
Command & Conquer (French Store),EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00029_00/NO9AfSugn14BqeQxLcaeoGjXAB6gQ3gWwup0W86DyE3cb4WfdU5Q2wC3MGdW0PtWAj9P8yKhHNqauGIVFKHQQaOiudETlcwB1Rflg.pkg,EP0006-NPEF00029-00
Command & Conquer: Red Alert,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00028_00/TJ5seikWIrSRP33HbsBPMPkhySqqi4VQxE2YVaL48Yb70CLnVjLXmmRbrP11iU6pv4Aat8DU0jGK5oqU1AvVFg1y8HClmdGNak8vs.pkg,EP0006-NPEF00028-00
Command & Conquer: Red Alert (French Store),EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00028_00/TCY9KgopkF6dVAHgqqE7eg43RgdggiuQwpoBOjvyF8I6nTeRCGVOvcbowi6JSAxOCFtHuyqSbnhiYLkLEsXGYS5L6dY5LwJrMddfM.pkg,EP0006-NPEF00028-00
Command & Conquer: Red Alert Retaliation,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00042_00/AopOPWFl47XAPAmCl7JwAwnFt1QJYmmtAC01LqvbLBADVCe3YdYdyJ4hNJW1bUFPNJ6VVD0DanG36H4mWpadMTxmiWkygRMmuTVqg.pkg,EP0006-NPEF00042-00
Command & Conquer: Red Alert Retaliation (Deutsch Store),EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00042_00/ejgTtyeSKy6xTH2iCGUYk7EqPVqrBFETNEVaQloW9Bi9v6Jr0WmHTyTDpHrBIKsyFIfTVTBpqQh1X01L296iCcS0Ae89QHWWfVMBH.pkg,EP0006-NPEF00042-00
Command & Conquer: Red Alert Retaliation (French Store),EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEF00042_00/VYSPtnkXlPMpFrJRDUrKyiw75xqIu74Pc7S7i92PUiYa6esfjDfLqvq52218PbGlgoEJVlmEHGFiWN0AUXwM73NECUwijkVuAx7QP.pkg,EP0006-NPEF00042-00
Constructor,EU,http://zeus.dl.playstation.net/cdn/EP4037/NPEF00057_00/QAWhd7hK0lFA2G0hEepm58dTGlYjRKHmgaq8O2UaxaIblaVUwTjh0VCPUxL90Q6B9NdaoM3w2NhL5r4A3VgRrlDlPWF3len5mLlCS.pkg,EP4037-NPEF00057-00
Cool Boarders,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00027_00/EkDDSVXEtDEyGx3b86yCAlprEcDGtH904rGARw2KeIOMGJ2LJghD7LesYsbI5A2i0ufb3YosHssa6ggA0F9ESYjjuLWmj1vkfn74c.pkg,EP9000-NPEE00027-00
Cool Boarders (Deutsch Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00027_00/oMECeYI9eOThiDF7Qvv3hhWDOe8PRqiYmW8sQ1Pic4wVo4Sx23Fr4G3nXsYCB4grE4c6a3oaCdtPcX2jnwOYwnGVCsRdRwc8o2VqP.pkg,EP9000-NPEE00027-00
Cool Boarders 2,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00040_00/9wDMAUrdhqtlRe5iWLIPM78264UblfctL7vn91qJGPoKyTlYWYKNlIbWN6oLYVIOQ9Q2C6USoPpFntS3fdd3nkQLHjHh5Utvcml8q.pkg,EP9000-NPEE00040-00
Cool Boarders 2,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00040_00/5n26R6mS0xfwt2l3dP1eJqep6dTB9yD4a2oo6YlAML9K5DM8goJBYIfp3MXtXeoTWfMLMEAwTxgXJiEl3mnmDfHCJ5pQO1tHVrH2n.pkg,EP9000-NPEE00040-00
Crash Bandicoot,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00001_00/TDkTfX1OWMUpXoC61uDYEWLt2EpfcpjcfsC1ivvffAeDrO7HafmT8gVWNUlWtoMKu09v8WDDxNmRGK5XWXOXrgvoASeMp41B6Ual9.pkg,EP9000-NPEE00001-00
Crash Bandicoot (Deutsch Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00001_00/lynQpdHRpLSNX1f0t1OKfVCNtrp9sesAEAAU0AKvbetIH17n3t1FKq405Tqo7UIjcLeryfULhsmwynaf6mBOJbhmejREoHIjk7aBq.pkg,EP9000-NPEE00001-00
Crash Bandicoot (French Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00001_00/6kCjtrnhcLMitAUaGAfBbfM03XskNyKBVH18WLUYBp06weUxs3WiCBaRXI6M9d4C3sTH0oCLV8DjmFRsvBLt9binku6vDlS7TIDaB.pkg,EP9000-NPEE00001-00
Crash Bandicoot 2: Cortex Strikes Back,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00008_00/rYG7dbClFfUSxVsjgxeoy3gaGV0OIW28Sf7LpiuGuJT9u6NHoEgN6KjKbY3O6Ob29EP0f9yDXRgnJXIp1vvWoNXUYsSO7qp8DHBSc.pkg,EP9000-NPEE00008-00
Crash Bandicoot 2: Cortex Strikes Back (Deutsch Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00008_00/fKvXuDFm0Kv4ilGWSFobIeg3BTIqSy6PPp8kF7BQ1tKQ57JLj3ro9dhBK3cb17QqDS3VgAlKJktGUqdvwOmo880L2vPiwgVWSd3Rx.pkg,EP9000-NPEE00008-00
Crash Bandicoot 3: Warped,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00014_00/hQSu8ucJdKg6FSLgGE5nnMKxcLWCdoC7CiDvtUEPFcKecwPicpoQCHaGYUIk2jyuK6O4GkjkfrQmw7RQmcyWwgngcLBAQhtl4Rusc.pkg,EP9000-NPEE00014-00
Crash Bandicoot 3: Warped (Deutsch Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00014_00/KOsh6UEJW9HjDklL6GgUv1e33PVaDJPnVFdofjH8fFF95VpDIrvsooMDuHn3L7wkQLi0rBlHXhW6KVxYnYR05ftc9DRp3yst80u6U.pkg,EP9000-NPEE00014-00
Crash Bandicoot 3: Warped (French Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00014_00/n4b6o8Qgghb56wM8Hw8K2owGLeg9cuGUW1ef6fkwqeFyWE1EdaP726mTWjMNmCXxePicQW1NDDqt6P2MBtfjEWt1M4aiRaQbOG2YH.pkg,EP9000-NPEE00014-00
Crash Bandicoot 3: Warped (Italian Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00014_00/EwyL0HplWYTt9n6rKBTfn5mLAU59v5KAlMF2yA3pp5E7KuNxR1JEhBPyCHTdyuYKHQwLcsQBnnlb4k8cFkoaHc7GFh1bGxIhliDQU.pkg,EP9000-NPEE00014-00
Crash Bandicoot 3: Warped (Spanish Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00014_00/blbfw23oN21XVTUFGiTQmITCmTpM80fymiNAUf0UWbPp3lDxrDIwDNEOdpSRkICVaUnbTXIhggbvAJxK31hExlEm2GedRWKOAh1c6.pkg,EP9000-NPEE00014-00
Crash Team Racing,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00026_00/iTDo8vreAYfHu9gNeE9VtHw2Ypbpuoyw4gergkBD0VeiwF3T4b322xqC4jNYcGD1vdoGghpObAyJ7buydgpRlO0eW5bNH1xMcViWa.pkg,EP9000-NPEE00026-00
Crash Team Racing (Deutsch Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00026_00/WKMwUFt7wGoayCCAkmmUKNYvrYdJu3QW7RisSgmdmHHG3yVycA2AcfFL5gFIIrO0IeGtF6GHqSsILpF70TdCWBY6LLr4j4ih9UXqN.pkg,EP9000-NPEE00026-00
Crash Team Racing (French Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00026_00/7wgfc5PDoyOE8sy9cWgs4YHOnbG3S6m2XCxiHaqegUQp4BNLVHp5cRKNjeQdelRsq4bpD4urgtlt1sTXUodTb5x7ds1LGJKecPRU1.pkg,EP9000-NPEE00026-00
Crash Team Racing (Italian Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00026_00/fmukg1eursjHLkudo9u8DDmWk6YohWPqYFQmCIn25Kurj5FIG5ENuEhjNXUydnyyM9ma0D6KOJ9g7TdUcEfkYafIk9kWN7xX7tKCx.pkg,EP9000-NPEE00026-00
Creatures 3: Raised in Space,EU,http://zeus.dl.playstation.net/cdn/EP4037/NPEF00058_00/lfmwOD07YQ9u4le3Q9oaaOIyqhrtDRxkA9k9C3V4vMONFnM9NJwvut9KLywtKs8rdh9B2hF2V3JwNbSMFbU8ceBlYn3uPJQexOnN0.pkg,EP4037-NPEF00058-00
Creatures 3: Raised in Space (Spanish Store),EU,http://zeus.dl.playstation.net/cdn/EP4037/NPEF00058_00/udOpO3sbafW5CI1s6PKnYEwphrid6rD4b6ET0o0tR7NQA3csBCtdyapyaf7GSdDMakkeaIwGhAMeVFklwvG4cWCRHenCo51OjOEyc.pkg,EP4037-NPEF00058-00
Crisis Beat,EU,http://zeus.dl.playstation.net/cdn/EP4037/NPEF00059_00/XVSSDrtGoTwWPPEyOWeWbcvwWcMQbJVjXZsNWWbnwGPkEMQEYnlWRYqVeXeAPwec.pkg,EP4037-NPEF00059-00
Critical Depth,EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00131_00/TS3ryoCfJH4tBWcCOv71GpEVmQHoFxoShWcUPfjWOHH7XnB2jBM880gAwHk17wNk.pkg,EP0182-NPEF00131-00
Critical Depth (Dutch Store),EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00131_00/nawSKOM11GW87PRFQIqnbnNvQhFIVP111tx5fIicPkhgbMWnnFn0D46ifAmXL7r4.pkg,EP0182-NPEF00131-00
Destruction Derby,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00039_00/9wHHln8uqH6oBRy7RGVbxoXPuD10ko8q327DJVXT29oPmrftkfGe7qiboJftTKMOLFSOPnbs2p45CtsNXW6v6EpYmk0PvT7pNDnue.pkg,EP9000-NPEE00039-00
Destruction Derby (Deutsch Store),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEE00039_00/gXL34Iwdy7R2Fy4GdSMawwndskaNCiO5SiPffTABmOlkfD4nfuj8n52kCRH5k55PYbiE6F3rINCVxGrIy0AXmXHE58aOG8bcmQQyS.pkg,EP9000-NPEE00039-00
