game_title,asian_title,game_title_item,title_id,additional_info,region,content_id,url
Summon Night 3,サモンナイト3,Summon Night 3 サモンナイト3,NPJH-50380,,JP,,
Summon Night 4,サモンナイト4,Summon Night 4 サモンナイト4,ULJS-00375,,JP,,
Summon Night 4,サモンナイト4,Summon Night 4 サモンナイト4,NPJH-50410,,JP,,
Summon Night 5,サモンナイト5,Summon Night 5 サモンナイト5,ULJS-00553,,JP,,
Summon Night 5,サモンナイト5,Summon Night 5 サモンナイト5,NPJH-50696,,JP,,
x-Radar Portable,,x-Radar Portable ,NPJH-00067,,JP,,
x-Radar Portable,,x-Radar Portable ,NPJH-00009,,JP,,
The Idolm@ster SP,アイドルマスターSP,The Idolm@ster SP アイドルマスターSP,ULJS-00167,,JP,,
The Idolm@ster SP,アイドルマスターSP,The Idolm@ster SP アイドルマスターSP,ULJS-00168,,JP,,
The Idolm@ster SP,アイドルマスターSP,The Idolm@ster SP アイドルマスターSP,ULJS-00169,,JP,,
The Idolm@ster SP,アイドルマスターSP,The Idolm@ster SP アイドルマスターSP,NPJH-50674,,JP,,
The Idolm@ster SP,アイドルマスターSP,The Idolm@ster SP アイドルマスターSP,NPJH-50675,,JP,,
The Idolm@ster SP,アイドルマスターSP,The Idolm@ster SP アイドルマスターSP,NPJH-50676,,JP,,
The Idolmaster ®SP Perfect Sun PSP® the Best,,The Idolmaster ®SP Perfect Sun PSP® the Best ,NPJH50368,https://store.playstation.com/ja-jp/grid/JP0700-NPJH50368_00-0000000000000000/1?relationship=add-ons,JP,JP0700-NPJH50368_00-0000000000000000,https://store.playstation.com/ja-jp/grid/JP0700-NPJH50368_00-0000000000000000/1?relationship=add-ons
Tiger & Bunny: On-Air Jack!,TIGER & BUNNY オンエアジャック！,Tiger & Bunny: On-Air Jack! TIGER & BUNNY オンエアジャック！,ULJS-00498,,JP,,
Tiger & Bunny: On-Air Jack!,first run copies bonus,Tiger & Bunny: On-Air Jack! first run copies bonus,NPJH-50589,,JP,,
Daisenryaku: Dai Toua Kouboushi - Dainijisekaitaisen Boppatsu - Suujiku Sentai Rengougun Zensekaisen,大戦略　大東亜興亡史　第二次世界大戦勃発！　～枢軸軍対連合軍　全世界戦～,Daisenryaku: Dai Toua Kouboushi - Dainijisekaitaisen Boppatsu - Suujiku Sentai Rengougun Zensekaisen 大戦略　大東亜興亡史　第二次世界大戦勃発！　～枢軸軍対連合軍　全世界戦～,ULJS-00577,,JP,,
Daisenryaku: Dai Toua Kouboushi - Dainijisekaitaisen Boppatsu - Suujiku Sentai Rengougun Zensekaisen,大戦略　大東亜興亡史　第二次世界大戦勃発！　～枢軸軍対連合軍　全世界戦～,Daisenryaku: Dai Toua Kouboushi - Dainijisekaitaisen Boppatsu - Suujiku Sentai Rengougun Zensekaisen 大戦略　大東亜興亡史　第二次世界大戦勃発！　～枢軸軍対連合軍　全世界戦～,NPJH-50752,,JP,,
特殊兵器設計図：戦闘機　ハウニヴ,,特殊兵器設計図：戦闘機　ハウニヴ ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0001,JP,JP0393-NPJH50752_00-000000001PAC0001,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0001
特殊兵器設計図：重戦車　マウス,,特殊兵器設計図：重戦車　マウス ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0003,JP,JP0393-NPJH50752_00-000000001PAC0003,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0003
追加搭乗員：三毛・ユリア・アウデンリート,,追加搭乗員：三毛・ユリア・アウデンリート ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0010,JP,JP0393-NPJH50752_00-000000001PAC0010,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0010
追加搭乗員：クローイ,,追加搭乗員：クローイ ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0011,JP,JP0393-NPJH50752_00-000000001PAC0011,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0011
追加搭乗員：葵=ジェシカ・チェインバーゼ,,追加搭乗員：葵=ジェシカ・チェインバーゼ ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0012,JP,JP0393-NPJH50752_00-000000001PAC0012,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0012
特殊兵器設計図：軽巡洋艦-北上,,特殊兵器設計図：軽巡洋艦-北上 ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0004,JP,JP0393-NPJH50752_00-000000001PAC0004,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0004
特殊兵器設計図：輸送機-ギガント,,特殊兵器設計図：輸送機-ギガント ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0002,JP,JP0393-NPJH50752_00-000000001PAC0002,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0002
追加アイテム/追加搭乗員：伏見-茜,,追加アイテム/追加搭乗員：伏見-茜 ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0005,JP,JP0393-NPJH50752_00-000000001PAC0005,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0005
追加アイテム/追加搭乗員：武藤-ツカサ,,追加アイテム/追加搭乗員：武藤-ツカサ ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0006,JP,JP0393-NPJH50752_00-000000001PAC0006,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0006
追加アイテム/追加搭乗員：メリッサ,,追加アイテム/追加搭乗員：メリッサ ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0008,JP,JP0393-NPJH50752_00-000000001PAC0008,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0008
追加アイテム/追加搭乗員：來瀬-優,,追加アイテム/追加搭乗員：來瀬-優 ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0007,JP,JP0393-NPJH50752_00-000000001PAC0007,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0007
追加アイテム/追加搭乗員：津崎-晶,,追加アイテム/追加搭乗員：津崎-晶 ,NPJH-50752,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0009,JP,JP0393-NPJH50752_00-000000001PAC0009,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0393-NPJH50752_00-000000001PAC0009
Durarara!! 3way Standoff: Alley,デュラララ!! 3way standoff −alley−,Durarara!! 3way Standoff: Alley デュラララ!! 3way standoff −alley−,ULJS-00400,,JP,,
Durarara!! 3way Standoff: Alley,デュラドラ!! -alley- 1話　星火燎原,Durarara!! 3way Standoff: Alley デュラドラ!! -alley- 1話　星火燎原,NPJH-50484,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000000,JP,JP0117-NPJH50484_00-DRAL000000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000000
Durarara!! 3way Standoff: Alley,デュラドラ!! -alley- 2話　洒々落々,Durarara!! 3way Standoff: Alley デュラドラ!! -alley- 2話　洒々落々,NPJH-50484,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000001,JP,JP0117-NPJH50484_00-DRAL000000000001,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000001
Durarara!! 3way Standoff: Alley,デュラドラ!! -alley- 3話　委曲求全,Durarara!! 3way Standoff: Alley デュラドラ!! -alley- 3話　委曲求全,NPJH-50484,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000002,JP,JP0117-NPJH50484_00-DRAL000000000002,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000002
Durarara!! 3way Standoff: Alley,デュラドラ!! -alley- 4話　静雄鳴動,Durarara!! 3way Standoff: Alley デュラドラ!! -alley- 4話　静雄鳴動,NPJH-50484,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000003,JP,JP0117-NPJH50484_00-DRAL000000000003,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000003
Durarara!! 3way Standoff: Alley,デュラドラ!! -alley- 5話　多事多端,Durarara!! 3way Standoff: Alley デュラドラ!! -alley- 5話　多事多端,NPJH-50484,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000004,JP,JP0117-NPJH50484_00-DRAL000000000004,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000004
Durarara!! 3way Standoff: Alley,デュラドラ!! -alley- 6話　桃源洞裡,Durarara!! 3way Standoff: Alley デュラドラ!! -alley- 6話　桃源洞裡,NPJH-50484,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000005,JP,JP0117-NPJH50484_00-DRAL000000000005,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0117-NPJH50484_00-DRAL000000000005
Durarara!! 3way Standoff,デュラララ!! 3way standoff,Durarara!! 3way Standoff デュラララ!! 3way standoff,ULJS-00318,,JP,,
Durarara!! 3way Standoff,デュラコス!! vol.1 大正学生セット,Durarara!! 3way Standoff デュラコス!! vol.1 大正学生セット,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000001,JP,0296_00-COST000000000001,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000001
Durarara!! 3way Standoff,デュラコス!! vol.2 アーミーワゴンセット,Durarara!! 3way Standoff デュラコス!! vol.2 アーミーワゴンセット,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000002,JP,0296_00-COST000000000002,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000002
Durarara!! 3way Standoff,デュラコス!! vol.3 セーラーナースセット,Durarara!! 3way Standoff デュラコス!! vol.3 セーラーナースセット,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000003,JP,0296_00-COST000000000003,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000003
Durarara!! 3way Standoff,デュラコス!! vol.4 ガーリーセット,Durarara!! 3way Standoff デュラコス!! vol.4 ガーリーセット,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000004,JP,0296_00-COST000000000004,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000004
Durarara!! 3way Standoff,デュラコス!! vol.6 クールガイセット,Durarara!! 3way Standoff デュラコス!! vol.6 クールガイセット,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000006,JP,0296_00-COST000000000006,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000006
Durarara!! 3way Standoff,デュラコス!! vol.7 折原帝国セット,Durarara!! 3way Standoff デュラコス!! vol.7 折原帝国セット,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000007,JP,0296_00-COST000000000007,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-COST000000000007
Durarara!! 3way Standoff,デュラドラ!! 1話 無銭大食,Durarara!! 3way Standoff デュラドラ!! 1話 無銭大食,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000000,JP,0296_00-DRDR000000000000,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000000
Durarara!! 3way Standoff,デュラドラ!! 2話 勇往邁進,Durarara!! 3way Standoff デュラドラ!! 2話 勇往邁進,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000001,JP,0296_00-DRDR000000000001,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000001
Durarara!! 3way Standoff,デュラドラ!! 3話 不倶戴天,Durarara!! 3way Standoff デュラドラ!! 3話 不倶戴天,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000002,JP,0296_00-DRDR000000000002,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000002
Durarara!! 3way Standoff,デュラドラ!! 4話 天衣無縫,Durarara!! 3way Standoff デュラドラ!! 4話 天衣無縫,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000003,JP,0296_00-DRDR000000000003,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000003
Durarara!! 3way Standoff,デュラドラ!! 5話 冷眼傍観,Durarara!! 3way Standoff デュラドラ!! 5話 冷眼傍観,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000004,JP,0296_00-DRDR000000000004,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000004
Durarara!! 3way Standoff,デュラドラ!! 6話 風水秘境,Durarara!! 3way Standoff デュラドラ!! 6話 風水秘境,NPJH-50296,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000005,JP,0296_00-DRDR000000000005,https://store.playstation.com/ja-jp/product/JP0117-NPJH50296_00-DRDR000000000005
Maji de Manabu LEC de Ukaru: Takuchi Tatemono Torihiki Shuninsha,本気で学ぶ LECで合格る 宅地建物取引主任者ポータブル,Maji de Manabu LEC de Ukaru: Takuchi Tatemono Torihiki Shuninsha 本気で学ぶ LECで合格る 宅地建物取引主任者ポータブル,ULJM-05602,,JP,,
Maji de Manabu LEC de Ukaru: Takuchi Tatemono Torihiki Shuninsha,本気で学ぶ LECで合格る 宅地建物取引主任者ポータブル,Maji de Manabu LEC de Ukaru: Takuchi Tatemono Torihiki Shuninsha 本気で学ぶ LECで合格る 宅地建物取引主任者ポータブル,NPJH-50147,,JP,,
Koushin Mondai Vol.1,更新問題Vol.1,Koushin Mondai Vol.1 更新問題Vol.1,unavailable,,JP,,
Koushin Mondai Vol.2,更新問題Vol.2,Koushin Mondai Vol.2 更新問題Vol.2,unavailable,,JP,,
Seinaru Kana: Orichalcum no Na no Motoni,聖なるかな —オリハルコンの名の下に—,Seinaru Kana: Orichalcum no Na no Motoni 聖なるかな —オリハルコンの名の下に—,ULJM-06035,,JP,,
Seinaru Kana: Orichalcum no Na no Motoni,追加ミッション２,Seinaru Kana: Orichalcum no Na no Motoni 追加ミッション２,ULJM-06035,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0287-ULJM06035_00-ULJM06035AC0002P,JP,JP0287-ULJM06035_00-ULJM06035AC0002P,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0287-ULJM06035_00-ULJM06035AC0002P
Seinaru Kana: Orichalcum no Na no Motoni,追加ミッション３,Seinaru Kana: Orichalcum no Na no Motoni 追加ミッション３,ULJM-06035,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0287-ULJM06035_00-ULJM06035AC0003P,JP,JP0287-ULJM06035_00-ULJM06035AC0003P,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0287-ULJM06035_00-ULJM06035AC0003P
Sengoku Efuda Yuugi: Hototogisu Tairan,戦国絵札遊戯 不如帰 大乱,Sengoku Efuda Yuugi: Hototogisu Tairan 戦国絵札遊戯 不如帰 大乱,ULJS-00326,,JP,,
Sengoku Efuda Yuugi: Hototogisu Tairan,戦国絵札遊戯 不如帰 大乱,Sengoku Efuda Yuugi: Hototogisu Tairan 戦国絵札遊戯 不如帰 大乱,NPJH-50321,,JP,,
Additional card data 1,追加カードデータ・壱,Additional card data 1 追加カードデータ・壱,NPJH-50322,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html,JP,m.co.jp/official/hototogisu_tairan/d,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html
Additional card data 2,追加カードデータ・弐,Additional card data 2 追加カードデータ・弐,NPJH-50323,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html,JP,m.co.jp/official/hototogisu_tairan/d,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html
Additional card data 4,追加カードデータ・七,Additional card data 4 追加カードデータ・七,NPJH-50324,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html,JP,m.co.jp/official/hototogisu_tairan/d,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html
Additional card data 6,追加カードデータ・拾壱,Additional card data 6 追加カードデータ・拾壱,NPJH-50325,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html,JP,m.co.jp/official/hototogisu_tairan/d,http://web.archive.org/web/20100915151115/http://www.irem.co.jp/official/hototogisu_tairan/dl_contents/index.html
TRICKxLOGIC: Season 1,,TRICKxLOGIC: Season 1 ,UCJS-10097,,JP,,
TRICKxLOGIC: Season 1,事件ファイルNo.5『亡霊ハムレット』推理編,TRICKxLOGIC: Season 1 事件ファイルNo.5『亡霊ハムレット』推理編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000005A,JP,JP9000-NPJG00025_00-000000000000005A,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000005A
TRICKxLOGIC: Season 1,事件ファイルNo.6『ブラッディ・マリーの謎』解決編,TRICKxLOGIC: Season 1 事件ファイルNo.6『ブラッディ・マリーの謎』解決編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000006B,JP,JP9000-NPJG00025_00-000000000000006B,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000006B
TRICKxLOGIC: Season 1,事件ファイルNo.6『ブラッディ・マリーの謎』推理編,TRICKxLOGIC: Season 1 事件ファイルNo.6『ブラッディ・マリーの謎』推理編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000006A,JP,JP9000-NPJG00025_00-000000000000006A,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000006A
TRICKxLOGIC: Season 1,事件ファイルNo.7『ライフリング・マーダー』解決編,TRICKxLOGIC: Season 1 事件ファイルNo.7『ライフリング・マーダー』解決編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000007B,JP,JP9000-NPJG00025_00-000000000000007B,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000007B
TRICKxLOGIC: Season 1,事件ファイルNo.7『ライフリング・マーダー』推理編,TRICKxLOGIC: Season 1 事件ファイルNo.7『ライフリング・マーダー』推理編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000007A,JP,JP9000-NPJG00025_00-000000000000007A,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000007A
TRICKxLOGIC: Season 1,事件ファイルNo.8『目の壁の密室』解決編,TRICKxLOGIC: Season 1 事件ファイルNo.8『目の壁の密室』解決編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000008B,JP,JP9000-NPJG00025_00-000000000000008B,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000008B
TRICKxLOGIC: Season 1,事件ファイルNo.8『目の壁の密室』推理編,TRICKxLOGIC: Season 1 事件ファイルNo.8『目の壁の密室』推理編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000008A,JP,JP9000-NPJG00025_00-000000000000008A,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000008A
TRICKxLOGIC: Season 1,事件ファイルNo.9『Yの標的』解決編,TRICKxLOGIC: Season 1 事件ファイルNo.9『Yの標的』解決編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000009B,JP,JP9000-NPJG00025_00-000000000000009B,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000009B
TRICKxLOGIC: Season 1,事件ファイルNo.9『Yの標的』推理編,TRICKxLOGIC: Season 1 事件ファイルNo.9『Yの標的』推理編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000009A,JP,JP9000-NPJG00025_00-000000000000009A,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-000000000000009A
TRICKxLOGIC: Season 1,事件ファイルNo.10『完全無欠のアリバイ』解決編,TRICKxLOGIC: Season 1 事件ファイルNo.10『完全無欠のアリバイ』解決編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-00000000000000AB,JP,JP9000-NPJG00025_00-00000000000000AB,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-00000000000000AB
TRICKxLOGIC: Season 1,事件ファイルNo.10『完全無欠のアリバイ』推理編,TRICKxLOGIC: Season 1 事件ファイルNo.10『完全無欠のアリバイ』推理編,NPJG-00025,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-00000000000000AA,JP,JP9000-NPJG00025_00-00000000000000AA,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP9000-NPJG00025_00-00000000000000AA
PW: Project Witch,(PW)プロジェクトウィッチ,PW: Project Witch (PW)プロジェクトウィッチ,ULJM-05470,,JP,,
PW: Project Witch,シェルメイド服,PW: Project Witch シェルメイド服,ULJM-05470,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000004,JP,JP0747-ULJM05470_00-0000000000000004,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000004
PW: Project Witch,おとぎ話,PW: Project Witch おとぎ話,ULJM-05470,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000005,JP,JP0747-ULJM05470_00-0000000000000005,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000005
PW: Project Witch,スポーツウェア,PW: Project Witch スポーツウェア,ULJM-05470,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000006,JP,JP0747-ULJM05470_00-0000000000000006,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000006
PW: Project Witch,森沢優,PW: Project Witch 森沢優,ULJM-05470,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000007,JP,JP0747-ULJM05470_00-0000000000000007,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000007
PW: Project Witch,クリィミーマミ,PW: Project Witch クリィミーマミ,ULJM-05470,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000008,JP,JP0747-ULJM05470_00-0000000000000008,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0747-ULJM05470_00-0000000000000008
